N,Area,RelativeError,Run
30100,0.946374,0.00196592,1
30100,0.939914,0.00487344,2
30100,0.904385,0.0424899,3
30100,0.911168,0.0353086,4
30100,0.974152,0.0313752,5
30100,0.929255,0.0161584,6
30100,0.931839,0.0134226,7
30100,0.95348,0.00948921,8
30100,0.964785,0.0214581,9
30600,0.968401,0.0252868,0
30600,0.961729,0.0182228,1
30600,0.936947,0.00801485,2
30600,0.964906,0.0215866,3
30600,0.975708,0.0330235,4
30600,0.966495,0.0232685,5
30600,0.931546,0.0137333,6
30600,0.947114,0.00274932,7
30600,0.927098,0.0184426,8
30600,0.952833,0.00880416,9
31100,0.943454,0.00112609,0
31100,0.956271,0.0124438,1
31100,0.937827,0.00708358,2
31100,0.903127,0.0438215,3
31100,0.923134,0.0226393,4
31100,0.951581,0.00747919,5
31100,0.951894,0.00781016,6
31100,0.956271,0.0124438,7
31100,0.949706,0.00549336,8
31100,0.938452,0.00642164,9
31600,0.939601,0.00520458,0
31600,0.959292,0.0156425,1
31600,0.972521,0.0296491,2
31600,0.927295,0.018234,3
31600,0.957138,0.0133623,4
31600,0.94114,0.00357591,5
31600,0.954062,0.010105,6
31600,0.946985,0.00261306,7
31600,0.946985,0.00261306,8
31600,0.935294,0.00976488,9
32100,0.970396,0.0273994,0
32100,0.935869,0.00915603,1
32100,0.958282,0.0145729,2
32100,0.97918,0.0366986,3
32100,0.960099,0.0164969,4
32100,0.941321,0.00338412,5
32100,0.928297,0.0171726,6
32100,0.943744,0.000818827,7
32100,0.930417,0.0149279,8
32100,0.949195,0.00495308,9
32600,0.917042,0.0290892,0
32600,0.96267,0.0192196,1
32600,0.933743,0.0114075,2
32600,0.929269,0.0161437,3
32600,0.943286,0.00130375,4
32600,0.946864,0.00248517,5
32600,0.950145,0.00595834,6
32600,0.919428,0.0265632,7
32600,0.929567,0.0158279,8
32600,0.942988,0.0016195,9
33100,0.956059,0.0122198,0
33100,0.966339,0.0231039,1
33100,0.917582,0.0285178,2
33100,0.942548,0.002085,3
33100,0.95694,0.0131527,4
33100,0.951947,0.00786616,5
33100,0.939317,0.00550572,6
33100,0.948422,0.00413447,7
33100,0.969864,0.0268356,8
33100,0.948716,0.00444545,9
33600,0.914054,0.0322522,0
33600,0.965848,0.0225837,1
33600,0.929969,0.0154032,2
33600,0.94704,0.00267123,3
33600,0.964112,0.0207457,4
33600,0.955721,0.0118616,5
33600,0.92042,0.0255126,6
33600,0.969609,0.0265662,7
33600,0.954274,0.0103299,8
33600,0.969031,0.0259535,9
34100,0.961094,0.017551,0
34100,0.924031,0.02169,1
34100,0.945414,0.000949042,2
34100,0.961094,0.017551,3
34100,0.956818,0.0130232,4
34100,0.94969,0.00547686,5
34100,0.950831,0.00668428,6
34100,0.958814,0.0151362,7
34100,0.947694,0.00336388,8
34100,0.947124,0.00276017,9
34600,0.932313,0.0129206,0
34600,0.934561,0.0105406,1
34600,0.950016,0.00582146,2
34600,0.953107,0.00909388,3
34600,0.943834,0.00072337,4
34600,0.992726,0.0510403,5
34600,0.930066,0.0153005,6
34600,0.968561,0.025456,7
34600,0.939619,0.00518575,8
34600,0.912925,0.0334475,9
35100,0.986063,0.0439861,0
35100,0.931774,0.0134918,1
35100,0.965012,0.0216987,2
35100,0.932605,0.012612,3
35100,0.979415,0.036948,4
35100,0.93399,0.0111458,5
35100,0.943684,0.000881863,6
35100,0.959472,0.0158336,7
35100,0.902691,0.0442835,8
35100,0.939806,0.00498743,9
35600,0.93398,0.0111557,0
35600,0.912406,0.0339974,1
35600,0.958286,0.0145774,2
35600,0.958559,0.0148666,3
35600,0.94982,0.00561422,4
35600,0.935619,0.00942084,5
35600,0.927699,0.0178058,6
35600,0.971941,0.0290342,7
35600,0.938623,0.00624035,8
35600,0.955009,0.0111078,9
36100,0.919967,0.0259921,0
36100,0.958209,0.0144965,1
36100,0.9539,0.00993444,2
36100,0.942051,0.00261133,3
36100,0.945552,0.00109537,4
36100,0.920506,0.0254218,5
36100,0.928585,0.0168679,6
36100,0.949861,0.00565747,7
36100,0.942859,0.00175594,8
36100,0.941512,0.0031816,9
36600,0.938744,0.00611237,0
36600,0.940869,0.00386248,1
36600,0.963182,0.0197613,2
36600,0.950697,0.00654324,3
36600,0.92865,0.0167993,4
36600,0.941932,0.00273754,5
36600,0.916696,0.0294549,6
36600,0.945916,0.001481,7
36600,0.971948,0.0290421,8
36600,0.960526,0.016949,9
37100,0.937623,0.00729947,0
37100,0.932382,0.0128484,1
37100,0.945484,0.0010239,2
37100,0.937885,0.00702203,3
37100,0.960945,0.0173932,4
37100,0.94627,0.00185623,5
37100,0.965662,0.0223872,6
37100,0.922424,0.0233913,7
37100,0.947843,0.00352091,8
37100,0.939195,0.0056348,9
37600,0.951787,0.00769661,0
37600,0.958251,0.0145405,1
37600,0.968077,0.0249433,2
37600,0.952562,0.00851788,3
37600,0.93317,0.0120138,4
37600,0.92231,0.0235116,5
37600,0.951787,0.00769661,6
37600,0.95489,0.0109817,7
37600,0.942478,0.00215861,8
37600,0.936273,0.00872876,9
38100,0.93062,0.0147133,0
38100,0.947207,0.00284732,1
38100,0.957924,0.0141942,2
38100,0.948993,0.00473846,3
38100,0.947462,0.00311748,4
38100,0.955372,0.0114926,5
38100,0.956903,0.0131135,6
