N,Area,RelativeError,Run
33100,0.948289,0.00399351,2
33100,0.940988,0.00373659,3
33100,0.942673,0.00195272,4
33100,0.949668,0.00545304,5
33100,0.949463,0.00523681,6
33100,0.942928,0.00168244,7
33100,0.944613,0.000101433,8
33100,0.939814,0.00497989,9
33600,0.938352,0.00652694,0
33600,0.942728,0.001894,1
33600,0.949871,0.00566782,2
33600,0.949368,0.00513529,3
33600,0.93966,0.00514238,4
33600,0.94132,0.00338506,5
33600,0.937045,0.0079115,6
33600,0.941722,0.00295904,7
33600,0.934932,0.0101481,8
33600,0.942125,0.00253302,9
34100,0.941295,0.00341114,0
34100,0.946995,0.00262307,1
34100,0.952595,0.00855234,2
34100,0.944418,0.000105441,3
34100,0.937083,0.0078712,4
34100,0.945657,0.00120634,5
34100,0.946846,0.00246566,6
34100,0.949027,0.0047744,7
34100,0.939016,0.00582482,8
34100,0.941196,0.00351608,9
34600,0.943176,0.00141965,0
34600,0.946253,0.00183827,1
34600,0.94176,0.00291933,2
34600,0.944935,0.000442021,3
34600,0.946156,0.00173485,4
34600,0.936338,0.00865949,5
34600,0.936875,0.00809064,6
34600,0.936485,0.00850435,7
34600,0.945912,0.00147628,8
34600,0.948891,0.00463078,9
35100,0.944956,0.00046412,0
35100,0.952996,0.00897719,1
35100,0.948374,0.00408345,2
35100,0.94587,0.00143267,3
35100,0.947074,0.00270708,4
35100,0.940381,0.00437864,5
35100,0.942741,0.0018808,6
35100,0.935615,0.00942531,7
35100,0.935374,0.0096802,8
35100,0.9438,0.000759315,9
35600,0.943409,0.001173,0
35600,0.948299,0.00400383,1
35600,0.946637,0.00224472,2
35600,0.945451,0.000988204,3
35600,0.946637,0.00224472,4
35600,0.949913,0.00571269,5
35600,0.945213,0.000736902,6
35600,0.944359,0.000167787,7
35600,0.941036,0.00368602,8
35600,0.945498,0.00103846,9
36100,0.942748,0.00187261,0
36100,0.938395,0.00648209,1
36100,0.93802,0.00687861,2
36100,0.942046,0.00261607,3
